geocode,tax_type,tax_cat,tax_auth_id,effective,description,pass_flag,pass_type,base_type,date_flag,rounding,location,report_to,max_tax,unit_type,max_type,thresh_type,unit_and_or_tax,formula,tier,tax_rate,min_tax_base,max_tax_base,fee,min_unit_base,max_unit_base
US08035A0034,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0035,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0036,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0037,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0038,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0039,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0040,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08035A0041,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803700000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0001,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0002,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0004,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0022,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0023,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0024,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0025,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0026,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0027,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0028,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0029,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0030,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0031,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0032,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0033,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0034,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0035,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08037A0036,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803900000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803923740,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803940790,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0803970635,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08039A0001,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0804100000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0804127865,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0804151800,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0804157025,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0001,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0003,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0007,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0008,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0009,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0010,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0011,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0012,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0013,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0014,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0015,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0017,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US08041A0018,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0804300000,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
US0804309115,18,FF,12005,7/1/2025,RETAIL DELIVERY FEE,0,01,18,01,01,,36,0,19,99,9,,05,0,0,0,0,0.28,0,0
